generic_name,brand_names,common_uses,safety_warning,source_name,source_url,last_checked,review_status,notes
paracetamol,Panadol;Calpol;Tylenol,mild to moderate pain and fever,Do not exceed the recommended dose and check other medicines for paracetamol.Ask a pharmacist or a doctor if you have a liver or kidney condition,NHS Medicines A to Z,https://www.nhs.uk/medicines/paracetamol-for-adults/,12/06/2026,nhs_url_matched_needs_text_review,Analgesic and antipyretic
ibuprofen,Nurofen;Advil;Motrin,"pain inflammation and fever such as headaches, muscle aches, period pain, and minor aches and pains",Not suitable for everyone. Ask a pharmacist or doctor if you have asthma stomach kidney  heart problems or take high blood pressure medication,NHS Medicines A to Z,https://www.nhs.uk/medicines/ibuprofen-for-adults/,12/06/2026,nhs_url_matched_needs_text_review,NSAID
aspirin,Disprin;Anadin;Bayer Aspirin,pain fever inflammation and sometimes reducing blood clot risk,Not suitable for everyone. Ask a pharmacist if you have stomach bleeding asthma or take blood thinners. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/aspirin-for-pain-relief/,12/06/2026,nhs_url_matched_needs_text_review,NSAID
naproxen,Naprosyn;Aleve;Feminax Ultra,pain inflammation and some joint or period pain,Not suitable for everyone. Ask a pharmacist or doctor if you have stomach kidney heart blood pressure asthma or bleeding problems. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/naproxen/,12/06/2026,nhs_url_matched_needs_text_review,NSAID
diclofenac,Voltarol;Voltaren,pain and inflammation in muscles joints or arthritis,Ask a pharmacist or doctor if unsure. Some forms are not suitable for people with stomach heart kidney blood pressure or asthma problems. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/diclofenac/,12/06/2026,nhs_url_matched_needs_text_review,NSAID
celecoxib,Celebrex,pain and inflammation in arthritis,Take only if prescribed and ask a pharmacist or doctor if you have heart stomach kidney or blood pressure problems,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/celecoxib/,12/06/2026,bnf_url_matched_needs_text_review,NSAID
codeine,Codeine phosphate,pain diarrhoea or cough depending on product and prescription,Can cause drowsiness constipation and dependence. Take only if prescribed or supplied by a pharmacist.,NHS Medicines A to Z,https://www.nhs.uk/medicines/codeine/,12/06/2026,nhs_url_matched_needs_text_review,Opioid
co-codamol,Co-codamol;Solpadeine Max,pain when it contains paracetamol and codeine,Can cause drowsiness and dependence. Check other medicines for paracetamol and ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/co-codamol-for-adults/,12/06/2026,nhs_url_matched_needs_text_review,Combination analgesic
tramadol,Ultram;Zydol,moderate to severe pain,Take only if prescribed. Can cause drowsiness dependence and interactions with other medicines. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/tramadol/,12/06/2026,nhs_url_matched_needs_text_review,Opioid
morphine,Oramorph;MST Continus,severe pain,Take only if prescribed. Can cause drowsiness breathing problems constipation and dependence.,NHS Medicines A to Z,https://www.nhs.uk/medicines/morphine/,12/06/2026,nhs_url_matched_needs_text_review,Opioid
oxycodone,OxyContin;Oxynorm,severe pain,Take only if prescribed. Can cause drowsiness breathing problems constipation and dependence.,NHS Medicines A to Z,https://www.nhs.uk/medicines/oxycodone/,12/06/2026,nhs_url_matched_needs_text_review,Opioid
gabapentin,Neurontin,nerve pain epilepsy and some other prescribed uses,Take only if prescribed. Can cause drowsiness and should be used carefully with other sedating medicines. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/gabapentin/,12/06/2026,nhs_url_matched_needs_text_review,Antiepileptic and neuropathic pain medicine
pregabalin,Lyrica,nerve pain epilepsy and anxiety in some countries,Take only if prescribed. Can cause drowsiness dependence and interactions with alcohol or sedating medicines. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/pregabalin/,12/06/2026,nhs_url_matched_needs_text_review,Antiepileptic and neuropathic pain medicine
amitriptyline,Elavil,pain migraine prevention and depression depending on dose and prescription,Take only if prescribed. Ask a pharmacist or doctor if unsure because it can cause drowsiness and interact with other medicines,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/amitriptyline-hydrochloride/,12/06/2026,bnf_url_matched_needs_text_review,Tricyclic antidepressant
sumatriptan,Imigran;Imitrex,migraine attacks,Use only if prescribed or supplied for you. Ask a pharmacist or doctor if you have heart blood pressure or circulation problems. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/sumatriptan/,12/06/2026,nhs_url_matched_needs_text_review,Triptan
rizatriptan,Maxalt,migraine attacks,Use only if prescribed or supplied for you. Ask a pharmacist or doctor if you have heart blood pressure or circulation problems,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/rizatriptan/,12/06/2026,bnf_url_matched_needs_text_review,Triptan
atorvastatin,Lipitor,lowering cholesterol and reducing the risk of heart and blood vessel problems,Take only if prescribed and ask a pharmacist if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/atorvastatin/,12/06/2026,nhs_url_matched_needs_text_review,Statin
simvastatin,Zocor,lowering cholesterol and reducing the risk of heart and blood vessel problems,Take only if prescribed and ask a pharmacist if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/simvastatin/,12/06/2026,nhs_url_matched_needs_text_review,Statin
rosuvastatin,Crestor,lowering cholesterol and reducing the risk of heart and blood vessel problems,Take only if prescribed and ask a pharmacist if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/rosuvastatin/,12/06/2026,nhs_url_matched_needs_text_review,Statin
pravastatin,Pravachol,lowering cholesterol and reducing the risk of heart and blood vessel problems,Take only if prescribed and ask a pharmacist if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/pravastatin/,12/06/2026,nhs_url_matched_needs_text_review,Statin
ezetimibe,Ezetrol;Zetia,lowering cholesterol,Take only if prescribed and ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/ezetimibe/,12/06/2026,nhs_url_matched_needs_text_review,Cholesterol absorption inhibitor
amlodipine,Norvasc,high blood pressure and angina,Take only if prescribed.,NHS Medicines A to Z,https://www.nhs.uk/medicines/amlodipine/,12/06/2026,nhs_url_matched_needs_text_review,Calcium channel blocker
felodipine,Plendil,high blood pressure and angina,Take only if prescribed and ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/felodipine/,12/06/2026,nhs_url_matched_needs_text_review,Calcium channel blocker
nifedipine,Adalat;Procardia,high blood pressure and angina,Take only if prescribed and ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/nifedipine/,12/06/2026,nhs_url_matched_needs_text_review,Calcium channel blocker
diltiazem,Tildiem;Cardizem,high blood pressure angina and some heart rhythm problems,Take only if prescribed and ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/diltiazem/,12/06/2026,nhs_url_matched_needs_text_review,Calcium channel blocker
