generic_name,source_name,source_url,review_status,source_status,common_uses_semantic_score,safety_warning_semantic_score,missing_common_tokens,missing_common_concepts,missing_safety_tokens,missing_safety_concepts,flags
paracetamol,NHS Medicines A to Z,https://www.nhs.uk/medicines/paracetamol-for-adults/,nhs_url_matched_needs_text_review,fetched,1.0,0.667,mild;moderate,,exceed;recommended,,ok
ibuprofen,NHS Medicines A to Z,https://www.nhs.uk/medicines/ibuprofen-for-adults/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,,,ok
aspirin,NHS Medicines A to Z,https://www.nhs.uk/medicines/aspirin-for-pain-relief/,nhs_url_matched_needs_text_review,fetched,0.25,0.0,blood;clot;fever;inflammation;reducing;risk;sometimes,blood_clot;eczema_skin;inflammation,asthma;bleeding;blood;everyone;stomach;suitable;thinners,asthma_breathing,review_common_uses;review_safety_warning
naproxen,NHS Medicines A to Z,https://www.nhs.uk/medicines/naproxen/,nhs_url_matched_needs_text_review,fetched,0.667,0.0,inflammation;joint,eczema_skin,asthma;bleeding;blood;everyone;heart;kidney;pressure;problems;stomach;suitable,asthma_breathing;blood_pressure;kidney,review_safety_warning
diclofenac,NHS Medicines A to Z,https://www.nhs.uk/medicines/diclofenac/,nhs_url_matched_needs_text_review,fetched,1.0,0.091,joints;muscles,,asthma;blood;forms;heart;kidney;pressure;problems;stomach;suitable;unsure,asthma_breathing;blood_pressure;kidney,review_safety_warning
celecoxib,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/celecoxib/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,,,problems;stomach,,ok
codeine,NHS Medicines A to Z,https://www.nhs.uk/medicines/codeine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,depending;product,,dependence;drowsiness;supplied,,ok
co-codamol,NHS Medicines A to Z,https://www.nhs.uk/medicines/co-codamol-for-adults/,nhs_url_matched_needs_text_review,fetched,1.0,0.286,contains,,cause;check;dependence;drowsiness;unsure,drowsiness,review_safety_warning
tramadol,NHS Medicines A to Z,https://www.nhs.uk/medicines/tramadol/,nhs_url_matched_needs_text_review,fetched,1.0,0.2,,,cause;dependence;drowsiness;interactions,drowsiness,review_safety_warning
morphine,NHS Medicines A to Z,https://www.nhs.uk/medicines/morphine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,dependence;drowsiness,,ok
oxycodone,NHS Medicines A to Z,https://www.nhs.uk/medicines/oxycodone/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,dependence;drowsiness,,ok
gabapentin,NHS Medicines A to Z,https://www.nhs.uk/medicines/gabapentin/,nhs_url_matched_needs_text_review,fetched,1.0,0.167,uses,,carefully;cause;drowsiness;sedating;should,drowsiness,review_safety_warning
pregabalin,NHS Medicines A to Z,https://www.nhs.uk/medicines/pregabalin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,countries,,alcohol;cause;dependence;drowsiness;interactions;sedating,drowsiness,review_safety_warning
amitriptyline,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/amitriptyline-hydrochloride/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,depending;prescription;prevention,,cause;interact;unsure,,ok
sumatriptan,NHS Medicines A to Z,https://www.nhs.uk/medicines/sumatriptan/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,attacks,,blood;circulation;heart;pressure;problems;supplied,blood_pressure,review_safety_warning
rizatriptan,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/rizatriptan/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,attacks,,blood;circulation;problems;supplied,,ok
atorvastatin,NHS Medicines A to Z,https://www.nhs.uk/medicines/atorvastatin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,cholesterol;lowering;reducing;risk;vessel,,unsure,,review_safety_warning
simvastatin,NHS Medicines A to Z,https://www.nhs.uk/medicines/simvastatin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,reducing;vessel,,unsure,,review_safety_warning
rosuvastatin,NHS Medicines A to Z,https://www.nhs.uk/medicines/rosuvastatin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,blood;lowering;problems;reducing;risk;vessel,,unsure,,review_safety_warning
pravastatin,NHS Medicines A to Z,https://www.nhs.uk/medicines/pravastatin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,blood;lowering;problems;reducing;risk;vessel,,unsure,,review_safety_warning
ezetimibe,NHS Medicines A to Z,https://www.nhs.uk/medicines/ezetimibe/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,lowering,,unsure,,review_safety_warning
amlodipine,NHS Medicines A to Z,https://www.nhs.uk/medicines/amlodipine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,,,ok
felodipine,NHS Medicines A to Z,https://www.nhs.uk/medicines/felodipine/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,,,unsure,,review_safety_warning
nifedipine,NHS Medicines A to Z,https://www.nhs.uk/medicines/nifedipine/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,,,unsure,,review_safety_warning
diltiazem,NHS Medicines A to Z,https://www.nhs.uk/medicines/diltiazem/,nhs_url_matched_needs_text_review,fetched,0.714,0.0,problems;rhythm,heart_rhythm,unsure,,review_safety_warning
verapamil,NHS Medicines A to Z,https://www.nhs.uk/medicines/verapamil/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,especially;unsure,,ok
